iter	Passed	Remaining
0	103	103450
1	106	53048
2	109	36234
3	111	27802
4	113	22672
5	116	19253
6	120	17030
7	123	15327
8	127	14023
9	131	12987
10	134	12124
11	137	11350
12	140	10684
13	144	10143
14	146	9636
15	150	9269
16	154	8920
17	157	8589
18	161	8326
19	164	8062
20	168	7843
21	172	7650
22	175	7435
23	178	7242
24	181	7069
25	184	6902
26	187	6745
27	189	6582
28	191	6428
29	194	6283
30	196	6144
31	198	6009
32	200	5875
33	202	5753
34	204	5646
35	206	5526
36	208	5419
37	210	5316
38	211	5217
39	213	5117
40	214	5021
41	216	4930
42	217	4847
43	219	4773
44	221	4706
45	223	4630
46	224	4553
47	225	4481
48	227	4413
49	228	4347
50	229	4277
51	231	4215
52	232	4154
53	233	4096
54	235	4042
55	236	3988
56	237	3936
57	239	3883
58	240	3831
59	241	3780
60	242	3732
61	243	3686
62	245	3645
63	246	3600
64	247	3559
65	248	3521
66	249	3480
67	250	3435
68	252	3401
69	253	3373
70	255	3340
71	256	3305
72	257	3270
73	258	3235
74	259	3199
75	260	3168
76	261	3139
77	263	3109
78	264	3078
79	265	3053
80	266	3024
81	267	2995
82	268	2965
83	269	2935
84	269	2902
85	270	2875
86	271	2849
87	272	2822
88	273	2796
89	274	2771
90	274	2746
91	275	2723
92	276	2699
93	277	2677
94	278	2655
95	279	2633
96	281	2616
97	282	2600
98	283	2582
99	285	2565
100	286	2550
101	287	2532
102	288	2516
103	290	2499
104	291	2487
105	292	2470
106	294	2455
107	296	2446
108	297	2432
109	298	2417
110	300	2403
111	301	2387
112	302	2373
113	304	2362
114	305	2348
115	305	2331
116	306	2316
117	307	2299
118	308	2283
119	309	2267
120	310	2252
121	310	2236
122	311	2219
123	312	2206
124	313	2197
125	314	2184
126	316	2173
127	316	2159
128	318	2147
129	318	2134
130	319	2121
131	321	2110
132	322	2099
133	322	2086
134	323	2074
135	324	2060
136	325	2048
137	325	2035
138	326	2022
139	327	2010
140	328	1998
141	328	1985
142	329	1974
143	330	1964
144	331	1957
145	332	1947
146	333	1937
147	334	1926
148	335	1916
149	336	1907
150	337	1897
151	338	1887
152	339	1878
153	340	1869
154	341	1860
155	342	1850
156	342	1840
157	343	1830
158	344	1820
159	345	1811
160	345	1802
161	346	1793
162	347	1784
163	348	1775
164	349	1768
165	350	1759
166	351	1750
167	351	1742
168	352	1734
169	353	1725
170	354	1717
171	355	1709
172	355	1701
173	356	1693
174	357	1686
175	358	1679
176	359	1671
177	360	1664
178	361	1656
179	361	1648
180	362	1639
181	363	1632
182	364	1625
183	365	1619
184	366	1612
185	367	1606
186	367	1599
187	368	1592
188	369	1585
189	370	1578
190	371	1571
191	371	1565
192	372	1558
193	373	1552
194	374	1545
195	375	1539
196	376	1533
197	376	1526
198	377	1521
199	378	1515
200	379	1508
201	380	1502
202	381	1495
203	381	1489
204	382	1483
205	383	1477
206	384	1472
207	385	1466
208	386	1461
209	386	1455
210	387	1450
211	388	1445
212	389	1439
213	390	1434
214	391	1428
215	392	1423
216	393	1418
217	394	1413
218	395	1408
219	395	1403
220	396	1397
221	397	1392
222	398	1387
223	398	1382
224	399	1377
225	400	1372
226	401	1366
227	402	1361
228	403	1357
229	404	1352
230	404	1347
231	405	1343
232	406	1339
233	407	1334
234	408	1330
235	409	1325
236	410	1320
237	411	1316
238	412	1312
239	413	1308
240	413	1303
241	414	1298
242	415	1294
243	416	1290
244	417	1286
245	418	1282
246	419	1277
247	419	1273
248	420	1269
249	422	1266
250	422	1262
251	423	1258
252	424	1253
253	425	1249
254	426	1245
255	427	1241
256	427	1237
257	428	1233
258	429	1229
259	430	1225
260	431	1222
261	432	1218
262	433	1214
263	434	1211
264	435	1206
265	435	1203
266	436	1199
267	437	1195
268	438	1191
269	439	1189
270	440	1185
271	441	1181
272	442	1178
273	443	1174
274	444	1170
275	445	1167
276	445	1163
277	446	1160
278	447	1156
279	448	1153
280	449	1150
281	450	1147
282	451	1143
283	452	1141
284	453	1138
285	454	1135
286	455	1132
287	456	1129
288	458	1127
289	459	1123
290	459	1120
291	461	1118
292	462	1115
293	463	1112
294	463	1108
295	464	1105
296	465	1102
297	466	1099
298	467	1096
299	468	1093
300	469	1089
301	470	1086
302	470	1083
303	471	1080
304	472	1076
305	473	1073
306	474	1070
307	475	1067
308	475	1064
309	476	1060
310	477	1057
311	478	1054
312	479	1051
313	479	1048
314	480	1045
315	481	1042
316	482	1039
317	483	1036
318	484	1033
319	485	1030
320	485	1027
321	486	1024
322	487	1021
323	488	1018
324	489	1015
325	490	1013
326	491	1010
327	492	1008
328	492	1005
329	493	1002
330	494	999
331	495	997
332	496	994
333	497	991
334	498	989
335	499	986
336	500	983
337	500	980
338	501	977
339	502	975
340	503	973
341	504	970
342	505	967
343	505	964
344	506	961
345	507	959
346	508	956
347	508	953
348	509	950
349	510	947
350	511	945
351	512	942
352	513	940
353	513	937
354	514	935
355	515	933
356	517	931
357	517	928
358	518	926
359	519	923
360	520	921
361	521	919
362	522	916
363	523	914
364	524	911
365	524	909
366	525	906
367	526	904
368	527	901
369	527	898
370	528	896
371	529	893
372	530	891
373	531	889
374	532	887
375	532	884
376	533	881
377	534	879
378	535	877
379	536	874
380	537	872
381	537	870
382	538	868
383	539	865
384	540	863
385	541	861
386	542	859
387	543	857
388	544	854
389	544	852
390	545	849
391	546	847
392	547	845
393	548	842
394	548	840
395	549	838
396	550	836
397	551	834
398	552	831
399	553	829
400	553	827
401	554	824
402	555	822
403	555	820
404	556	817
405	557	815
406	558	813
407	559	811
408	560	809
409	560	807
410	561	804
411	562	802
412	563	800
413	563	797
414	564	795
415	565	793
416	565	791
417	566	789
418	567	787
419	568	785
420	569	783
421	570	781
422	571	779
423	572	777
424	572	774
425	573	772
426	574	770
427	575	768
428	576	767
429	577	765
430	578	763
431	579	761
432	580	759
433	581	757
434	581	755
435	582	753
436	583	751
437	584	749
438	585	747
439	586	745
440	586	743
441	587	741
442	588	739
443	589	737
444	590	735
445	590	733
446	591	731
447	592	729
